MDB,Sovereign / Non-sovereign ,Project name,Project ID,Approval date,Approval year,Country,World Bank Income Level,Investment instrument,Sector (general),Total commitment ($ million),Mitigation sector,Adaptation sector,"Type (mitigation, adaptation or dual-use)",Climate finance ($ million),Mitigation ($ million),Adaptation ($ million),Dual-use ($ million),Climate finance percentage,Source
Asian Development Bank,Sovereign,"Bataan–Cavite Interlink Bridge Project, Tranche 1",52310-002,15/12/2023,2023,Philippines,Lower middle income,Loan cofinancing,Transport,,,,Adaptation,13,,13,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Supporting Development of Innovative Green Housing Finance,52312-005,17/12/2022,2022,Kazakhstan,Upper middle income,Technical assistance,Finance,0.813,,,Dual-use,0.263,0.230125,0.032875,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Supporting Development of Innovative Green Housing Finance,52312-005,17/12/2022,2022,Kazakhstan,Upper middle income,Technical assistance,Finance,,,,Dual-use,0.55,0.48125,0.06875,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Supporting Development of Innovative Green Housing Finance,52312-005,12/04/2023,2023,Kazakhstan,Upper middle income,Technical assistance,Finance,1.017,,,Dual-use,0.717,0.627375,0.089625,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Supporting Development of Innovative Green Housing Finance,52312-005,12/04/2023,2023,Kazakhstan,Upper middle income,Technical assistance cofinancing,Finance,,,,Dual-use,0.3,0.262,0.038,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Presidente Nicolau Lobato International Airport Expansion Project,52320-002,01/10/2021,2021,Timor-Leste,Lower middle income,Loan,Transport,209,,,Adaptation,0.67037037,0.67037037,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Presidente Nicolau Lobato International Airport Expansion Project,52320-002,01/10/2021,2021,Timor-Leste,Lower middle income,Loan,Transport,,,,Adaptation,1.13962963,1.13962963,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Capacity Building for Presidente Nicolau Lobato International Airport Expansion Project,52320-004,23/11/2021,2021,Timor-Leste,Lower middle income,Technical assistance,Transport,0.2,,,Adaptation,0.04,0.04,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Digitize to Decarbonize—Power Transmission Grid Enhancement,52322-004,24/11/2023,2023,Uzbekistan,Lower middle income,Loan,Energy,164.3,,,Dual-use,109.4,49.4,60,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Maharashtra Rural Connectivity Improvement Project - Additional Financing,52328-002,08/09/2021,2021,India,Lower middle income,Loan,"Agriculture, natural resources and rural development",441.9,,,Dual-use,96.65,78.64,18.01,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Higher Education for Technology and Innovation Project,52332-001,07/12/2021,2021,Indonesia,Upper middle income,Loan,Health,94.265,,,Dual-use,1.23333334,0.83666667,0.39666667,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Higher Education for Technology and Innovation Project,52332-001,07/12/2021,2021,Indonesia,Upper middle income,Loan,Education,,,,Dual-use,1.23333334,0.83666667,0.39666667,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Higher Education for Technology and Innovation Project,52332-001,07/12/2021,2021,Indonesia,Upper middle income,Loan,Information and communication technology,,,,Dual-use,1.23333334,0.83666667,0.39666667,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,School Education Reform Sector Development Program,52337-001,21/07/2023,2023,Kyrgyz Republic,Lower middle income,Loan,Education,42.8,,,Dual-use,0.38,0.38,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,School Education Reform Sector Development Program,52337-001,21/07/2023,2023,Kyrgyz Republic,Lower middle income,Grant,Education,,,,Dual-use,0.15,0.025,0.125,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,School Education Reform Sector Development Program,52337-001,21/07/2023,2023,Kyrgyz Republic,Lower middle income,Grant,Education,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Study on the Municipal Climate Finance Roadmap,52349-001,28/05/2021,2021,People's Republic of China,Upper middle income,Technical assistance,Finance,0.2,,,Adaptation,0.1,0.1,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Nonsovereign,Tianzow Advanced Pig Breeding Stock Project,52358-001,17/12/2021,2021,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",41.3,,,Mitigation,0.03,,0.03,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Landslide Risk Management Sector Project,53022-001,16/09/2021,2021,Kyrgyz Republic,Lower middle income,Loan,"Agriculture, natural resources and rural development",39,,,Adaptation,5.75,5.75,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Landslide Risk Management Sector Project,53022-001,16/09/2021,2021,Kyrgyz Republic,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,11.75,11.75,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate-Resilient and Sustainable Livestock Development Project,53038-001,02/12/2022,2022,Mongolia,Lower middle income,Loan,"Agriculture, natural resources and rural development",34.504415,,,Dual-use,16.875423,12.880666,3.994757,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Climate-Resilient and Sustainable Livestock Development Project,53038-001,02/12/2022,2022,Mongolia,Lower middle income,Loan,"Agriculture, natural resources and rural development",,,,Dual-use,5.135999,3.920203,1.215796,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Nuku'alofa Port Upgrade Project,53045-003,12/01/2021,2021,Tonga,Upper middle income,Grant,Transport,50,,,Dual-use,21.2,15.1,6.1,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Nuku’alofa Port Upgrade Project (Additional Financing),53045-004,21/11/2023,2023,Tonga,Upper middle income,Grant,Transport,33.5,,,Dual-use,7.06,2.03,5.03,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Nuku’alofa Port Upgrade Project (Additional Financing),53045-004,21/11/2023,2023,Tonga,Upper middle income,Grant cofinancing,Transport,,,,Dual-use,9.42,2.71,6.71,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Support to Capital Market-Generated Infrastructure Financing Program - Subprogram 2,53047-003,01/06/2022,2022,Philippines,Lower middle income,Loan,Finance,400,,,Dual-use,62.22,21.11,41.11,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Jiangxi Ganzhou Rural Vitalization and Comprehensive Environment Improvement Project,53049-001,01/12/2021,2021,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",453.91,,,Dual-use,79.94,44.77,35.17,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Hunan Xiangxi Rural Environmental Improvement and Green Development Project,53050-001,26/03/2021,2021,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",420.729451,,,Dual-use,26.808075,9.026924,17.781151,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Fujian Xianyou Mulan River Basin Integrated Ecological Improvement and Environmental Management Project,53051-001,11/11/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,577.35,,,Dual-use,14,7,7,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Fujian Xianyou Mulan River Basin Integrated Ecological Improvement and Environmental Management Project,53051-001,11/11/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Dual-use,39.76,15.91,23.85,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Hunan Miluo River Disaster Risk Management and Comprehensive Environment Improvement Project,53052-001,03/02/2021,2021,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",353.56,,,Dual-use,8.94,7.64,1.3,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Henan Xichuan Integrated Ecological Protection and Environmental Improvement Project,53053-001,18/10/2021,2021,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",466.76,,,Dual-use,18.29,10.03,8.26,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Guangxi Wuzhou Healthy and Age-Friendly City Development Program,53055-001,15/12/2022,2022,People's Republic of China,Upper middle income,Loan,Health,1373.08,,,Dual-use,13.23,4.7,8.53,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Guangxi Wuzhou Healthy and Age-Friendly City Development Program,53055-001,15/12/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,,,,Dual-use,39.69,14.1,25.59,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shandong West Jining Water Supply and Drainage Integration Program,53059-001,21/12/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,212.244,,,Adaptation,5.03,,5.03,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shandong West Jining Water Supply and Drainage Integration Program,53059-001,21/12/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Adaptation,24,,24,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shandong West Jining Water Supply and Drainage Integration Program,53059-001,21/12/2022,2022,People's Republic of China,Upper middle income,Loan,Public sector management,,,,Adaptation,3,,3,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shandong West Jining Water Supply and Drainage Integration Program,53059-001,21/12/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,,,,Adaptation,8,,8,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shandong West Jining Water Supply and Drainage Integration Program,53059-001,21/12/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Adaptation,17,,17,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shaanxi Xi′an Preschool Education Development Program,53060-001,04/11/2021,2021,People's Republic of China,Upper middle income,Loan,Education,2225.13,,,Dual-use,2.954,2.63,0.324,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Inclusive, Resilient, and Sustainable Housing for Urban Poor Sector Project in Tamil Nadu",53067-004,07/12/2021,2021,India,Lower middle income,Loan,Water and other urban infrastructure and services,216.5,,,Dual-use,50.17,48.87,1.3,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Supporting Capacity for Affordable Housing Delivery (attached TA to Inclusive, Resilient, and Sustainable Housing for Urban Poor Sector Project in Tamil Nadu)",53067-004,31/12/2021,2021,India,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Himachal Pradesh Rural Drinking Water Improvement and Livelihood Project,53067-005,16/08/2022,2022,India,Lower middle income,Loan,"Agriculture, natural resources and rural development",139.1,,,Dual-use,38.79,6.7,32.09,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,23/09/2021,2021,People's Republic of China,Upper middle income,Technical assistance,Transport,0.51,,,Dual-use,0.005490196,0.002745098,0.002745098,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,23/09/2021,2021,People's Republic of China,Upper middle income,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0.028627451,0.014313725,0.014313725,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,23/09/2021,2021,People's Republic of China,Upper middle income,Technical assistance,Energy,,,,Dual-use,0.005882353,0.002941176,0.002941176,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,10/12/2021,2021,People's Republic of China,Upper middle income,Technical assistance,Transport,,,,Dual-use,0.001509804,0.000754902,0.000754902,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,10/12/2021,2021,People's Republic of China,Upper middle income,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0.007872549,0.003936275,0.003936275,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,10/12/2021,2021,People's Republic of China,Upper middle income,Technical assistance,Energy,,,,Dual-use,0.001617647,0.000808824,0.000808824,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Development Projects,53074-001,12/12/2023,2023,People's Republic of China,Upper middle income,Technical assistance,Transport,0.4,,,Dual-use,0.072,0.036,0.036,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Gansu Environmentally Sustainable Rural Vitalization and Development Project,53077-001,02/12/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",319.29,,,Dual-use,89.28,40.24,49.04,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Shanxi Low-Carbon and Inclusive Rural Development Project,53078-001,28/12/2023,2023,People's Republic of China,Upper middle income,Loan,Energy,318.41,,,Dual-use,41.97,29.93,12.04,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Shanxi Low-Carbon and Inclusive Rural Development Project,53078-001,28/12/2023,2023,People's Republic of China,Upper middle income,Loan,Finance,,,,Dual-use,11.89,7.89,4,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Shanxi Low-Carbon and Inclusive Rural Development Project,53078-001,28/12/2023,2023,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Dual-use,76.28,28.56,47.72,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,53079-001,15/12/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,357.6,,,Dual-use,24.656945,7.70656,16.950385,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,53079-001,15/12/2022,2022,People's Republic of China,Upper middle income,Loan,Transport,,,,Dual-use,12.388342,9.094781,3.293561,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Guangxi Li River Comprehensive Ecological Management and Demonstration Project,53079-001,15/12/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Dual-use,12.886699,7.70656,5.180139,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Heilongjiang Green Transformation Demonstration Project and Program,53080-001,01/12/2022,2022,People's Republic of China,Upper middle income,Loan,Water and other urban infrastructure and services,498.831,,,Dual-use,29.0211,15.1111,13.91,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Heilongjiang Green Transformation Demonstration Project and Program,53080-001,01/12/2022,2022,People's Republic of China,Upper middle income,Loan,Transport,,,,Dual-use,3.7752,2.5582,1.217,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Heilongjiang Green Transformation Demonstration Project and Program,53080-001,01/12/2022,2022,People's Republic of China,Upper middle income,Loan,Information and communication technology,,,,Dual-use,6.3507,4.4157,1.935,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Heilongjiang Green Transformation Demonstration Project and Program,53080-001,01/12/2022,2022,People's Republic of China,Upper middle income,Loan,"Agriculture, natural resources and rural development",,,,Dual-use,4.594,4.013,0.581,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Heilongjiang Green Transformation Demonstration Project and Program,53080-001,01/12/2022,2022,People's Republic of China,Upper middle income,Loan,,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Improved Technical and Vocational Education and Training for Employment Project,53083-001,14/12/2022,2022,Papua New Guinea,Lower middle income,Loan,Education,66.39,,,Dual-use,7.942,3,4.942,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Improved Technical and Vocational Education and Training for Employment Project,53083-001,14/12/2022,2022,Papua New Guinea,Lower middle income,Grant,Education,,,,Dual-use,1.42,,1.42,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Support to Operation and Maintenance and Financial Sustainability of Water Resources Infrastructure (attached TA to Climate- and Disaster-Resilient Irrigation and Drainage Modernization in the Vakhsh River Basin Project),53109-001,25/12/2021,2021,Tajikistan,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Climate- and Disaster-Resilient Irrigation and Drainage Modernization in the Vakhsh River Basin Project,53109-001,31/12/2021,2021,Tajikistan,Lower middle income,Grant,"Agriculture, natural resources and rural development",36.2,,,Dual-use,9.3,7.2,2.1,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Livable Cities Investment Project for Balanced Development,53118-001,10/12/2021,2021,Georgia,Upper middle income,Loan,Water and other urban infrastructure and services,180.5,,,Dual-use,18.44,11.04,7.4,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Livable Cities Investment Project for Balanced Development,53118-001,10/12/2021,2021,Georgia,Upper middle income,Loan,Transport,,,,Dual-use,2.26,0.96,1.3,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,National Water Resources Management and Irrigation Strategy Implementation (attached TA to Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project),53120-001,29/09/2022,2022,Uzbekistan,Lower middle income,Technical assistance,,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,53120-001,03/11/2022,2022,Uzbekistan,Lower middle income,Loan,"Agriculture, natural resources and rural development",195.65,,,Adaptation,51,,51,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,53120-001,03/11/2022,2022,Uzbekistan,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,3,,3,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Climate Adaptive Water Resources Management in the Aral Sea Basin Sector Project,53120-001,03/11/2022,2022,Uzbekistan,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Adaptation,0.3,,0.3,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Preparing the Climate Adaptive Water Resources Management in the Aral Sea Basin Project,53120-002,06/05/2021,2021,Uzbekistan,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",0.15,,,Adaptation,0.15,0.15,0,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing the Climate Adaptive Water Resources Management in the Aral Sea Basin Project,53120-002,22/04/2022,2022,Uzbekistan,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",0.3,,,Adaptation,0.3,,0.3,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Understanding Disaster Displacement in Asia and the Pacific,53124-001,28/09/2022,2022,Regional,Regional,Technical assistance,Public sector management,0.4,,,Adaptation,0.2,,0.2,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Preparing Urban Development Projects,53129-001,14/10/2021,2021,Pakistan,Lower middle income,Technical assistance,Water and other urban infrastructure and services,4.4,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Urban Development Projects,53129-001,14/10/2021,2021,Pakistan,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Urban Development Projects,53129-001,14/10/2021,2021,Pakistan,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Adaptation,0.1,0.1,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Urban Development Projects,53129-001,14/10/2021,2021,Pakistan,Lower middle income,Technical assistance,Transport,,,,Adaptation,1.6,1.6,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Developing Insurance Markets for Sustainable and Resilient Societies in Asia and the Pacific,53134-001,06/06/2022,2022,Bangladesh; Fiji; Pakistan; Philippines; Regional,Regional,Technical assistance,Finance,0.95,,,Adaptation,0.95,,0.95,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Energy Sector Reforms and Financial Sustainability Program (Subprogram 2),53165-002,18/12/2021,2021,Pakistan,Lower middle income,Loan,Energy,300,,,Mitigation,87,,87,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Promoting an Interconnected, Inclusive, and Resilient Association of Southeast Asian Nations Capital Market",53169-001,17/11/2022,2022,Brunei Darussalam; Cambodia; Indonesia; Lao People's Democratic Republic; Malaysia; Myanmar; Philippines; Regional (Southeast Asia); Singapore; Thailand; Viet Nam,Regional,Technical assistance,Finance,0.25,,,Mitigation,0.25,0.25,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,"Himachal Pradesh Subtropical Horticulture, Irrigation, and Value Addition Project",53189-002,08/06/2023,2023,India,Lower middle income,Loan,"Agriculture, natural resources and rural development",163.11,,,Dual-use,117.5,16.8,100.7,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Southeast Asia Facility for Resilient Cities,53190-001,18/03/2022,2022,Regional (Southeast Asia),Regional,Technical assistance,Water and other urban infrastructure and services,3.2,,,Dual-use,0.088,0.044,0.044,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Southeast Asia Facility for Resilient Cities,53190-001,06/09/2022,2022,Regional (Southeast Asia),Regional,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.129,,0.129,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Southeast Asia Facility for Resilient Cities,53190-001,06/09/2022,2022,Regional (Southeast Asia),Regional,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0.2,,0.2,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Southeast Asia Facility for Resilient Cities,53190-001,25/08/2023,2023,Regional,Regional,Technical assistance,Water and other urban infrastructure and services,1.725,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Southeast Asia Facility for Resilient Cities,53190-001,25/08/2023,2023,Regional,Regional,Technical assistance cofinancing,Water and other urban infrastructure and services,,,,Adaptation,0,,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Nonsovereign,Bengaluru Smart Energy Efficient Power Distribution Project,53192-003,08/06/2021,2021,India,Lower middle income,Loan,Energy,90,,,Dual-use,23.7,3.5,20.2,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Enhancing High-Value Crop Diversification,53197-002,03/10/2023,2023,Armenia,Upper middle income,Technical assistance,"Agriculture, natural resources and rural development",0.975,,,Adaptation,0.225,,0.225,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Livable Cities Investment Project,53199-001,08/12/2021,2021,Cambodia,Lower middle income,Loan,Water and other urban infrastructure and services,196.1,,,Dual-use,36.32,30.86,5.46,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Technical Support and Capacity Development in Urban Planning (attached TA to Livable Cities Investment Project),53199-001,22/12/2021,2021,Cambodia,Lower middle income,Technical assistance,Water and other urban infrastructure and services,,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Nonsovereign,AC Energy Wind Power Project,53206-001,20/12/2022,2022,Viet Nam,Lower middle income,Loan,Energy,152,,,Mitigation,25,25,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Nonsovereign,AC Energy Wind Power Project,53206-001,20/12/2022,2022,Viet Nam,Lower middle income,Grant,Energy,,,,Mitigation,5,5,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,"Competitiveness, Industrial Modernization, and Trade Acceleration Program, Subprogram 1",53211-001,15/12/2021,2021,Indonesia,Upper middle income,Loan,Public sector management,954.25,,,Dual-use,48.61,24.54,24.07,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Competitiveness, Industrial Modernization, and Trade Acceleration Program, Subprogram 1",53211-001,15/12/2021,2021,Indonesia,Upper middle income,Loan,Industry and trade,,,,Dual-use,48.61,24.54,24.07,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,"Competitiveness, Industrial Modernization and Trade Acceleration Subprogram 2",53211-002,06/10/2023,2023,Indonesia,Upper middle income,Loan,Public sector management,1000,,,Dual-use,85.625,75.625,10,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,"Competitiveness, Industrial Modernization and Trade Acceleration Subprogram 2",53211-002,06/10/2023,2023,Indonesia,Upper middle income,Loan,Industry and trade,,,,Dual-use,85.625,75.625,10,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Sustainable and Reliable Energy Access Program - Western and Central Java,53220-001,31/12/2021,2021,Indonesia,Upper middle income,Loan,Energy,1411.5,,,Dual-use,123.8,29.3,94.5,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Preparing Sustainable Energy Projects in Central Asia,53222-001,07/04/2023,2023,Regional (Central and West Asia),Regional,Technical assistance,Energy,4.975,,,Mitigation,1,1,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Preparing Sustainable Energy Projects in Central Asia,53222-001,17/07/2023,2023,Regional (Central and West Asia),Regional,Technical assistance,Energy,,,,Mitigation,0.5,0.5,,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Climate and Disaster Resilient Small-Scale Water Resources Management Project,53237-001,29/10/2023,2023,Bangladesh,Lower middle income,Loan,"Agriculture, natural resources and rural development",225,,,Dual-use,89.7,5.4,84.3,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Climate and Disaster Resilient Small-Scale Water Resources Management Project,53237-001,29/10/2023,2023,Bangladesh,Lower middle income,Loan cofinancing,"Agriculture, natural resources and rural development",,,,Dual-use,33.7,2.3,31.4,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Climate and Disaster Resilient Small-Scale Water Resources Management Project,53237-001,29/10/2023,2023,Bangladesh,Lower middle income,Grant cofinancing,"Agriculture, natural resources and rural development",,,,Dual-use,12.5,,12.5,,,Climate Change Financing at ADB - 2023
Asian Development Bank,Sovereign,Preparing the Climate and Disaster Resilient Small-Scale Water Resources Management Project,53237-002,23/11/2021,2021,Bangladesh,Lower middle income,Technical assistance,"Agriculture, natural resources and rural development",0.2,,,Adaptation,0.06,0.06,,,,Climate Change Financing at ADB - 2021
Asian Development Bank,Sovereign,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,53240-003,22/12/2022,2022,Cambodia,Lower middle income,Loan,"Agriculture, natural resources and rural development",128.78,,,Dual-use,20.45,12.28,8.17,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,53240-003,22/12/2022,2022,Cambodia,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Dual-use,0.9,,0.9,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,53240-003,22/12/2022,2022,Cambodia,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Dual-use,0,,,,,Climate Change Financing at ADB - 2022
Asian Development Bank,Sovereign,Greater Mekong Subregion Cross-Border Livestock Health and Value Chains Improvement Project,53240-003,22/12/2022,2022,Cambodia,Lower middle income,Grant,"Agriculture, natural resources and rural development",,,,Dual-use,13.75,7.03,6.72,,,Climate Change Financing at ADB - 2022
